,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count
81,0,0,0.473933649,1.895734597,2.369668246,9.478672986,0,0,6.161137441,21.32701422,4.265402844,16.11374408,11.37440758,36.492891,7.109004739,24.64454976,1.421800948,5.687203791,34.5971564,1.895734597,2.369668246
82,1.930501931,7.722007722,0.386100386,1.544401544,4.247104247,16.21621622,0,0,6.177606178,23.16602317,3.088803089,11.58301158,14.28571429,44.01544402,5.791505792,21.62162162,1.158301158,4.633204633,24.71042471,5.405405405,0.772200772
83,1.265822785,5.063291139,1.898734177,6.329113924,5.063291139,16.4556962,0.632911392,2.53164557,10.12658228,32.91139241,3.797468354,15.18987342,5.063291139,17.08860759,0,0,5.063291139,18.98734177,24.6835443,4.430379747,0
84,2.933333333,11.2,1.066666667,3.466666667,6.666666667,25.06666667,2.4,9.6,9.866666667,33.06666667,7.2,24,17.33333333,50.4,5.6,20.26666667,5.333333333,17.6,24,2.933333333,2.4
85,0.591715976,2.366863905,0,0,1.183431953,4.733727811,0,0,4.142011834,15.38461538,5.325443787,18.93491124,8.284023669,28.99408284,4.142011834,14.20118343,2.366863905,8.875739645,10.0591716,10.0591716,0
86,1.840490798,6.134969325,0.613496933,2.45398773,5.521472393,21.47239264,0,0,7.36196319,26.99386503,7.975460123,26.99386503,7.975460123,26.3803681,4.294478528,15.95092025,1.840490798,7.36196319,24.5398773,4.90797546,2.45398773
87,1.320754717,5.094339623,1.509433962,6.037735849,0.943396226,3.773584906,1.320754717,5.283018868,2.452830189,9.245283019,6.41509434,21.13207547,9.622641509,33.39622642,6.981132075,26.03773585,3.58490566,12.64150943,21.13207547,3.20754717,2.075471698
88,1.307189542,4.575163399,0.435729847,1.74291939,1.74291939,6.535947712,0.653594771,2.614379085,8.278867102,29.41176471,10.89324619,38.34422658,16.33986928,48.80174292,6.753812636,23.74727669,11.98257081,39.21568627,20.26143791,10.45751634,1.74291939
89,1.801801802,7.207207207,0,0,5.405405405,20.72072072,0,0,10.81081081,32.43243243,4.504504505,18.01801802,11.71171171,36.93693694,1.801801802,6.306306306,6.306306306,23.42342342,30.63063063,4.504504505,0.900900901
90,0,0,0.67114094,2.684563758,2.684563758,10.06711409,0.67114094,2.684563758,12.08053691,40.93959732,8.724832215,27.51677852,5.369127517,18.79194631,2.684563758,10.73825503,11.40939597,35.5704698,24.83221477,4.697986577,3.355704698
91,1.538461538,6.153846154,1.923076923,7.692307692,5.384615385,20.76923077,1.538461538,6.153846154,10.76923077,36.92307692,6.153846154,21.53846154,12.30769231,39.23076923,1.153846154,4.615384615,8.461538462,26.15384615,21.53846154,8.076923077,1.538461538
92,1.84501845,7.380073801,0.73800738,2.95202952,2.95202952,11.80811808,0.36900369,1.47601476,9.225092251,32.10332103,8.118081181,29.15129151,10.70110701,35.42435424,2.95202952,11.80811808,8.487084871,29.88929889,14.39114391,10.33210332,1.84501845
93,1.716738197,6.86695279,0.858369099,3.433476395,6.008583691,21.88841202,1.287553648,5.150214592,10.72961373,36.90987124,8.154506438,27.46781116,4.291845494,15.45064378,2.575107296,9.442060086,3.004291845,9.442060086,27.03862661,4.721030043,7.296137339
94,1.111111111,4.444444444,0,0,3.888888889,14.44444444,0.555555556,2.222222222,6.666666667,25.55555556,7.222222222,26.11111111,7.222222222,23.33333333,6.666666667,23.33333333,5,18.33333333,20.55555556,3.888888889,2.222222222
95,0,0,0,0,0.67114094,2.684563758,0,0,2.348993289,8.724832215,3.691275168,14.76510067,7.382550336,25.5033557,4.362416107,16.10738255,3.691275168,14.76510067,23.15436242,3.020134228,4.026845638
96,1.369863014,5.479452055,0,0,4.109589041,15.06849315,2.739726027,10.95890411,12.32876712,43.83561644,4.109589041,16.43835616,12.32876712,43.83561644,2.739726027,10.95890411,6.849315068,21.91780822,24.65753425,2.739726027,0
97,0,0,0.531914894,2.127659574,4.787234043,19.14893617,2.127659574,8.510638298,10.63829787,38.82978723,12.76595745,43.61702128,12.23404255,38.82978723,1.595744681,6.382978723,14.36170213,46.27659574,24.46808511,15.42553191,4.255319149
98,0,0,1.379310345,5.517241379,3.67816092,14.02298851,3.448275862,13.56321839,7.586206897,25.74712644,6.206896552,22.06896552,20.22988506,56.09195402,2.988505747,11.72413793,11.26436782,37.47126437,28.73563218,5.287356322,2.988505747
99,2.575107296,10.30042918,0.858369099,2.575107296,5.579399142,19.31330472,0.429184549,1.716738197,9.442060086,33.47639485,8.583690987,30.90128755,14.59227468,43.77682403,2.145922747,8.583690987,5.579399142,21.88841202,23.17596567,4.291845494,0.429184549
100,0.952380952,3.80952381,0,0,5.714285714,20.95238095,0.952380952,3.80952381,6.666666667,24.76190476,7.619047619,28.57142857,10.47619048,31.42857143,1.904761905,7.619047619,7.619047619,28.57142857,26.66666667,5.714285714,2.857142857
101,2.898550725,10.86956522,0.362318841,1.449275362,3.623188406,14.49275362,2.173913043,8.695652174,10.14492754,35.86956522,10.86956522,35.86956522,12.31884058,36.95652174,4.710144928,15.57971014,5.797101449,23.1884058,22.10144928,7.971014493,1.086956522
102,0.534759358,2.139037433,1.069518717,4.278074866,7.486631016,27.27272727,0.534759358,2.139037433,12.8342246,42.78074866,5.882352941,22.45989305,12.29946524,38.5026738,1.069518717,4.278074866,8.021390374,29.94652406,28.34224599,2.139037433,5.347593583
103,2.293577982,9.174311927,0.458715596,1.834862385,6.422018349,23.39449541,0.917431193,3.669724771,7.798165138,27.98165138,6.880733945,25.68807339,9.633027523,31.19266055,5.04587156,19.26605505,5.963302752,19.26605505,28.89908257,1.834862385,13.76146789
104,0.555555556,2.222222222,0,0,3.888888889,13.88888889,1.111111111,4.444444444,11.66666667,39.44444444,2.777777778,11.11111111,5.555555556,21.66666667,1.666666667,6.111111111,0,0,20.55555556,1.111111111,6.111111111
105,1.449275362,4.830917874,1.449275362,5.797101449,3.8647343,14.97584541,2.898550725,11.5942029,12.56038647,42.99516908,8.212560386,27.0531401,14.49275362,47.82608696,2.898550725,9.661835749,6.763285024,24.63768116,26.57004831,6.280193237,4.347826087
